86,"'@BnOrdhaug @yasin_shafiei @thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini That’s the plan. We’re taking a little  risk there, as engine isolation was done as retrofit, so not as good as on Booster 9.'"
87,"'@yasin_shafiei @thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini Late next month maybe, but November seems highly likely. We will have two boosters &amp; ships ready for orbital flight by then, with full stack production at roughly one every two months.'"
88,"'@thejackbeyer @NASASpaceflight @BocaChicaGal @NicAnsuini Our focus is on reliability upgrades for flight on Booster 7 and completing Booster 9, which has many design changes, especially for full engine RUD isolation.'"
89,'@enn_nafnlaus @theliamnissan @RBReich Exactly'
90,'@teslaownersSV @chicago_glenn @Twitter Seems that way @Twitter @paraga'
91,'@chicago_glenn .@Twitter what’s going on?'
92,'@TrungTPhan @McDonalds Such miracles are impossible'
93,'@ruffpast @stevenmarkryan @SawyerMerritt @mayemusk @RBReich @PenguinBooks That’s a real picture?'
94,'@stevenmarkryan @SawyerMerritt @mayemusk @RBReich @PenguinBooks Absolutely'
95,"'@jhall @RBReich Unsurprisingly, Reich is also a hypocrite'"
96,'@teslaownersSV @RBReich Reich is suicidally boring'
97,'@TrungTPhan 🤣'
98,'@RBReich You both an idiot and a liar'
99,'@BillyM2k 🤣'
100,'@ajtourville @parag @Twitter Curiouser and curiouser …'
,
,
103,
